Year - Labels,LGA 2013 - Labels,NUMBER OF BUSINESSES - Total number of businesses (no.) (Number),BUSINESS ENTRIES - Total number of business entries (no.) (Number),BUSINESS EXITS - Total number of business exits (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Agriculture, Forestry and Fishing (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Mining (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Manufacturing (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Electricity, Gas, Water & Waste Services (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Construction (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Wholesale trade (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Retail trade (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Accommodation & Food Services (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Transport, Postal and Warehousing (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Information Media & Telecommunications (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Financial & Insurance Services (no.) (Number),"NUMBER OF BUSINESSES BY INDUSTRY - Rental, Hiring, & Real Estate Services (no.) (Number)",NUMBER OF BUSINESSES BY INDUSTRY - Professional Scientific & Technical Services (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Administrative & Support Services (no.) (Number),NUMBER OF BUSINESSES BY INDUSTRY - Public Administration & Safety (no.) (Number)
2012,Adelaide,15179,1515,1851,270,78,324,28,691,329,669,766,178,127,5701,1878,1860,405,35,164,910,104,286,378,15181
2013,Adelaide,14939,1350,1613,268,78,289,26,671,325,613,743,172,130,5519,1879,1839,385,29,154,912,97,264,546,14939
2012,Adelaide Hills,4059,398,604,619,20,182,14,700,147,213,101,153,34,250,333,590,127,10,46,218,85,140,91,4072
2013,Adelaide Hills,3981,343,456,609,13,186,13,667,129,216,100,141,28,242,323,566,116,8,44,230,77,138,133,3979
2012,Alexandrina,2024,194,284,518,9,116,9,399,47,149,94,86,9,61,136,134,52,9,15,58,38,64,33,2035
2013,Alexandrina,1960,151,238,502,9,107,6,377,40,135,89,86,6,68,125,134,51,3,14,57,34,65,48,1956
2012,Anangu Pitjantjatjara,6,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9
2013,Anangu Pitjantjatjara,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Barossa,2292,197,252,623,8,210,10,327,67,119,99,100,13,111,157,170,57,6,10,68,23,93,30,2304
2013,Barossa,2241,181,252,599,5,204,7,310,70,109,96,92,7,115,152,160,51,6,13,75,21,94,50,2238
2012,Barunga West,290,28,31,147,0,7,3,21,7,13,5,18,0,10,27,5,4,0,3,5,0,7,9,291
2013,Barunga West,291,19,28,148,0,7,3,20,6,12,7,18,0,10,28,5,3,0,0,5,3,6,11,291
2012,Berri and Barmera,1186,100,119,480,0,56,17,130,24,83,38,44,3,50,68,53,23,6,8,38,0,57,14,1194
2013,Berri and Barmera,1154,76,124,462,0,53,18,122,22,77,38,43,3,55,67,50,24,0,7,36,3,53,21,1153
2012,Burnside,6324,769,799,237,36,135,18,481,229,322,160,119,63,802,1414,940,176,16,80,727,63,131,177,6326
2013,Burnside,6186,575,723,213,38,124,15,465,205,287,158,115,62,808,1399,888,170,13,80,735,57,117,238,6187
2012,Campbelltown,3433,478,521,73,9,143,10,740,133,206,103,305,23,229,447,349,136,10,41,186,29,160,108,3441
2013,Campbelltown,3354,384,463,67,3,129,9,715,137,205,112,281,21,225,434,329,130,10,35,177,29,144,162,3354
2012,Ceduna,422,43,52,173,4,12,4,54,6,29,23,22,0,13,20,12,12,0,0,11,3,22,10,429
2013,Ceduna,432,40,42,177,0,10,3,56,6,31,23,21,0,15,20,11,10,0,0,11,0,25,12,432
2012,Charles Sturt,8359,1078,1211,180,21,518,24,1525,408,601,309,739,65,516,1025,761,341,29,82,456,107,422,256,8386
2013,Charles Sturt,8095,933,1143,151,13,506,18,1426,392,567,325,714,58,509,986,706,322,17,77,455,109,408,330,8089
2012,Clare and Gilbert Valleys,1351,117,149,517,7,77,6,126,26,87,53,47,3,65,130,62,30,3,6,30,8,47,23,1355
2013,Clare and Gilbert Valleys,1337,95,140,530,6,73,4,111,23,77,53,51,0,63,123,62,29,3,9,32,6,45,35,1336
2012,Cleve,304,29,27,178,3,9,3,19,6,13,8,11,0,12,17,5,4,0,0,4,0,10,4,304
2013,Cleve,300,19,25,177,3,9,3,18,5,14,7,11,0,12,17,4,4,0,0,3,0,10,6,300
2012,Coober Pedy,137,17,19,3,29,7,3,25,11,17,13,4,3,3,9,4,3,0,0,3,0,7,3,147
2013,Coober Pedy,145,15,10,0,30,7,3,25,11,19,14,6,0,3,11,6,0,0,0,3,0,7,3,148
2012,Copper Coast,1030,123,152,245,3,33,9,194,27,95,50,43,3,34,128,26,32,3,3,33,6,56,20,1041
2013,Copper Coast,1014,85,110,233,0,36,6,185,25,96,48,45,0,32,124,33,30,3,9,33,0,53,21,1009
2012,Elliston,212,17,30,141,0,0,0,11,0,12,7,6,0,6,10,0,0,0,0,0,0,5,4,214
2013,Elliston,216,19,15,140,0,0,0,10,0,10,7,7,0,6,12,0,0,0,0,0,0,6,7,216
2012,Flinders Ranges,156,18,20,55,3,3,0,13,4,9,15,17,3,0,8,5,3,0,0,4,0,5,5,158
2013,Flinders Ranges,160,13,13,57,0,3,3,14,4,9,15,16,3,0,10,5,3,0,0,4,0,5,7,161
2012,Franklin Harbour,222,22,21,130,0,7,3,14,4,10,6,8,0,9,12,4,0,0,0,0,0,7,3,222
2013,Franklin Harbour,219,16,16,130,0,6,0,13,4,10,5,8,0,9,12,0,0,0,0,0,0,7,4,220
2012,Gawler,1471,186,195,110,4,51,5,349,35,111,57,99,6,92,143,123,41,4,16,80,26,88,35,1474
2013,Gawler,1362,111,226,108,4,48,5,315,33,102,43,91,5,91,134,116,28,3,17,72,26,82,39,1362
2012,Goyder,605,62,64,365,3,16,3,43,7,31,12,33,0,10,28,16,0,0,0,0,6,19,7,609
2013,Goyder,568,28,79,346,3,16,0,38,7,29,11,29,0,8,24,14,0,0,0,0,4,17,13,566
2012,Grant,807,60,70,398,4,17,4,79,18,36,22,37,4,30,67,26,13,0,5,12,6,25,12,813
2013,Grant,809,62,68,399,3,17,4,79,19,36,20,34,0,30,65,28,13,0,0,13,6,23,17,807
2012,Holdfast Bay,3331,429,467,86,10,130,8,513,106,267,174,129,27,284,461,419,111,13,44,249,36,168,96,3330
2013,Holdfast Bay,3240,348,473,74,15,119,8,473,104,254,164,123,25,291,447,414,113,14,38,254,33,160,118,3240
2012,Kangaroo Island,697,48,87,311,3,20,4,85,12,36,51,35,3,14,44,23,12,3,4,16,3,12,11,702
2013,Kangaroo Island,680,48,75,296,3,17,4,87,11,38,47,34,3,13,43,25,8,0,4,16,3,12,16,680
2012,Karoonda East Murray,197,13,17,135,0,3,0,8,4,8,0,6,0,4,9,4,0,0,0,0,0,5,4,198
2013,Karoonda East Murray,194,9,14,137,0,0,0,7,4,7,0,6,0,4,9,3,0,0,0,0,0,5,3,193
2012,Kimba,190,16,19,111,0,6,3,12,4,8,5,7,0,7,10,3,0,0,0,0,0,6,0,190
2013,Kimba,188,12,14,111,0,5,0,11,3,9,5,7,0,8,10,0,0,0,0,0,0,6,4,188
2012,Kingston,347,24,36,164,0,10,3,37,9,21,22,9,3,15,24,11,3,0,0,4,0,9,4,350
2013,Kingston,338,18,32,162,0,10,0,37,8,21,23,10,0,14,22,8,0,0,0,4,0,10,4,341
2012,Light (RegC),1216,112,150,375,5,89,5,218,30,63,30,67,3,44,89,57,23,5,6,23,12,56,24,1221
2013,Light (RegC),1217,101,135,385,0,90,3,192,31,56,31,63,0,51,95,60,25,3,5,24,12,57,31,1214
2012,Lower Eyre Peninsula,621,49,76,281,3,17,0,72,10,32,18,30,0,37,46,18,10,0,3,11,4,21,11,623
2013,Lower Eyre Peninsula,626,48,49,278,3,16,0,71,10,32,17,28,0,38,47,18,9,0,0,11,4,20,20,625
2012,Loxton Waikerie,1262,114,156,620,3,45,5,111,28,75,33,51,3,41,73,44,22,3,7,22,8,60,23,1275
2013,Loxton Waikerie,1245,88,127,601,0,48,0,101,26,78,34,56,0,46,73,44,18,0,9,23,8,57,23,1246
2012,Mallala,720,84,117,224,0,31,8,147,16,33,16,97,0,22,31,19,15,3,3,9,13,27,11,725
2013,Mallala,690,62,98,212,0,25,9,134,16,34,17,89,0,21,31,18,20,0,0,9,13,21,21,690
2012,Maralinga Tjarutja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Maralinga Tjarutja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Marion,4715,613,797,98,9,264,18,1054,194,383,159,398,27,233,390,450,249,24,60,204,82,263,171,4728
2013,Marion,4471,544,769,90,6,250,12,979,182,351,146,373,31,237,366,430,238,17,55,202,68,257,181,4471
2012,Mid Murray,829,61,100,372,0,35,3,95,8,44,32,43,4,25,51,26,17,0,0,16,8,38,15,833
2013,Mid Murray,819,65,92,364,0,34,0,91,9,44,30,44,0,29,50,26,12,0,0,15,7,36,25,821
2012,Mitcham,5226,623,800,157,16,188,18,796,229,327,142,195,71,434,655,795,198,13,81,498,72,204,156,5244
2013,Mitcham,5053,477,652,153,15,185,6,749,211,311,140,186,62,443,618,733,193,9,80,498,70,189,202,5053
2012,Mount Barker,2847,288,369,417,20,144,14,547,83,214,86,132,12,145,271,308,95,15,22,95,31,135,73,2858
2013,Mount Barker,2722,215,374,390,20,136,15,523,77,190,85,127,6,143,267,297,90,14,28,90,22,127,78,2724
2012,Mount Gambier,2249,198,221,317,6,85,6,376,81,195,109,121,6,147,275,140,57,8,20,92,29,141,38,2249
2013,Mount Gambier,2223,174,222,322,6,79,7,362,76,194,106,122,6,154,277,136,52,5,22,93,22,133,47,2223
2012,Mount Remarkable,376,33,32,228,0,6,0,25,5,20,18,13,3,6,19,7,5,0,0,0,0,10,5,380
2013,Mount Remarkable,372,18,31,228,0,7,0,23,5,19,15,12,0,6,19,8,4,0,0,0,0,10,10,374
2012,Murray Bridge,1429,184,201,306,9,82,13,200,33,110,60,79,4,57,128,79,51,6,6,31,19,76,87,1435
2013,Murray Bridge,1339,117,227,293,6,67,12,185,32,110,56,78,3,52,122,74,48,3,7,29,19,74,68,1337
2012,Naracoorte and Lucindale,1293,93,146,587,3,29,6,105,41,73,48,45,0,88,116,38,31,8,6,18,10,40,14,1306
2013,Naracoorte and Lucindale,1296,87,101,583,0,27,6,100,42,70,45,43,0,95,116,38,27,8,3,19,10,43,22,1297
2012,Northern Areas,659,45,85,336,5,17,5,46,13,36,19,27,0,28,55,20,11,0,0,10,0,15,12,659
2013,Northern Areas,661,44,63,335,3,17,5,43,10,36,23,29,3,27,53,21,11,0,4,9,0,15,18,663
2012,Norwood Payneham St Peters,6007,747,725,145,30,203,13,619,282,442,225,157,76,640,966,909,215,14,61,499,72,248,199,6015
2013,Norwood Payneham St Peters,5929,654,729,148,24,194,7,585,255,425,218,138,76,650,938,878,205,9,62,501,69,242,303,5927
2012,Onkaparinga,9442,1142,1618,701,35,636,48,2420,330,659,271,573,56,426,659,882,398,59,99,388,112,494,263,9510
2013,Onkaparinga,8995,920,1403,667,18,579,33,2257,309,624,267,521,42,436,647,858,351,35,89,391,95,461,309,8989
2012,Orroroo/Carrieton,115,9,9,69,0,0,0,8,3,6,5,4,0,3,6,3,0,0,0,0,0,3,0,116
2013,Orroroo/Carrieton,114,7,10,69,0,3,0,7,0,6,5,4,0,0,6,3,3,0,0,0,0,3,3,114
2012,Peterborough,227,20,20,137,0,4,0,15,3,12,11,8,3,4,11,4,3,0,0,0,0,6,3,228
2013,Peterborough,224,12,19,137,0,4,0,14,0,11,9,7,0,4,11,5,0,0,0,0,0,6,6,225
2012,Playford,3261,482,609,505,9,154,27,717,110,225,94,358,18,95,206,151,147,23,30,131,31,153,109,3293
2013,Playford,3042,346,537,481,3,147,22,639,100,216,86,339,6,93,196,143,126,13,27,127,24,137,116,3041
2012,Port Adelaide Enfield,7930,1112,1103,141,23,619,39,1211,436,600,318,937,47,364,899,621,428,25,78,320,74,480,278,7938
2013,Port Adelaide Enfield,7673,886,1122,121,20,601,40,1207,412,574,309,862,43,362,866,585,421,18,74,325,67,445,323,7677
2012,Port Augusta,667,58,94,66,8,13,3,111,9,72,50,57,3,31,68,29,32,5,6,49,5,43,10,670
2013,Port Augusta,646,67,86,65,7,8,3,104,9,60,47,52,3,37,65,30,27,5,7,54,4,40,20,648
2012,Port Lincoln,1644,170,209,384,6,67,3,254,35,131,44,83,3,151,172,85,41,6,8,50,8,75,40,1646
2013,Port Lincoln,1615,137,181,368,6,62,3,244,32,120,41,83,3,165,169,81,38,6,10,49,6,76,52,1616
2012,Port Pirie City and Dists,985,94,124,214,5,34,6,148,17,104,41,62,4,43,88,42,23,3,7,51,9,67,19,989
2013,Port Pirie City and Dists,949,74,115,205,5,37,6,137,17,100,38,64,4,41,90,41,22,3,4,49,8,58,18,949
2012,Prospect,1849,240,254,39,3,49,3,281,66,148,62,151,13,121,274,221,87,6,18,153,18,73,70,1856
2013,Prospect,1841,214,222,37,0,49,0,274,61,146,70,150,12,114,270,216,75,3,21,153,18,74,96,1839
2012,Renmark Paringa,978,87,114,434,3,33,7,105,25,54,29,37,6,39,71,26,33,0,6,24,8,32,18,990
2013,Renmark Paringa,960,72,101,427,0,31,7,109,23,50,24,37,6,43,68,24,25,0,3,23,8,31,27,966
2012,Robe,213,13,23,101,0,6,0,23,5,13,14,6,0,9,14,7,0,0,0,0,0,6,0,215
2013,Robe,208,14,18,100,0,6,0,22,5,13,14,6,0,9,13,5,0,0,0,0,0,6,0,209
2012,Roxby Downs,160,20,43,16,3,8,3,32,5,11,8,6,0,6,18,9,7,0,0,7,0,10,8,159
2013,Roxby Downs,154,19,30,17,0,8,0,29,6,10,10,6,0,5,14,10,10,0,4,8,0,5,6,153
2012,Salisbury,6786,1008,1173,278,19,473,32,1458,327,449,238,773,29,258,593,410,366,33,54,286,58,446,241,6820
2013,Salisbury,6485,804,1119,247,16,446,34,1302,305,436,246,725,21,267,576,398,346,22,43,299,56,404,298,6488
2012,Southern Mallee,412,26,33,288,0,6,3,16,10,16,4,12,0,8,19,8,0,0,0,3,0,10,8,416
2013,Southern Mallee,406,20,31,292,0,5,0,14,10,15,4,12,0,8,18,6,0,0,0,0,0,10,6,404
2012,Streaky Bay,291,29,28,155,3,9,0,27,6,14,12,11,0,8,17,9,3,3,0,5,0,9,5,295
2013,Streaky Bay,291,24,29,161,0,8,0,26,8,14,11,10,0,9,15,7,0,0,0,5,0,9,4,292
2012,Tatiara,1125,95,96,588,0,27,3,91,25,50,23,54,0,71,99,16,10,0,3,12,9,31,15,1127
2013,Tatiara,1119,76,91,587,0,26,3,88,27,53,25,50,0,68,96,14,10,0,0,12,7,31,20,1117
2012,Tea Tree Gully,5595,729,971,113,19,265,28,1509,180,375,162,472,34,311,440,542,255,34,48,256,68,339,161,5609
2013,Tea Tree Gully,5281,541,851,101,10,246,27,1390,168,354,156,428,34,302,413,502,227,28,52,258,65,331,188,5279
2012,The Coorong,801,56,98,441,3,11,0,49,20,40,22,39,0,21,76,22,5,0,4,8,4,19,17,800
2013,The Coorong,762,34,83,432,3,11,0,47,18,34,22,37,0,18,65,23,0,0,4,9,0,18,15,761
2012,Tumby Bay,334,24,40,171,0,8,0,35,5,15,10,16,0,17,22,7,4,0,0,4,0,11,5,335
2013,Tumby Bay,338,26,22,170,0,8,0,35,5,15,9,15,0,17,23,8,4,0,0,5,0,10,11,338
2012,Unley,5852,763,728,234,38,179,9,496,194,387,195,160,44,857,879,903,187,11,82,527,68,190,212,5852
2013,Unley,5801,624,665,228,42,169,9,487,179,377,201,137,46,849,903,864,170,12,76,527,66,178,281,5801
2012,Victor Harbor,1024,88,144,141,3,37,7,228,22,92,51,48,4,61,95,79,27,7,8,45,14,41,15,1026
2013,Victor Harbor,1007,93,129,144,0,37,5,214,24,90,48,49,5,63,92,80,23,6,7,34,13,43,28,1006
2012,Wakefield,786,74,83,402,3,19,4,57,18,34,14,50,3,26,72,14,9,0,3,14,4,19,24,790
2013,Wakefield,789,51,65,404,3,19,4,54,17,31,18,50,3,28,75,13,8,3,0,14,4,15,29,791
2012,Walkerville,823,99,125,32,3,20,0,63,23,45,24,24,0,105,148,117,20,3,10,134,5,23,28,827
2013,Walkerville,832,96,86,32,3,20,0,61,22,44,28,24,0,118,147,111,18,0,8,136,5,24,32,833
2012,Wattle Range,1432,118,120,719,6,53,9,127,38,77,40,53,3,41,91,55,24,0,6,20,9,43,28,1444
2013,Wattle Range,1387,82,137,721,3,56,6,110,35,67,34,49,3,41,91,50,21,0,0,20,9,41,29,1391
2012,West Torrens,5433,734,711,120,11,328,15,754,318,439,202,528,49,357,727,487,257,32,71,270,79,228,178,5448
2013,West Torrens,5288,582,725,106,18,316,12,728,292,415,193,494,39,339,718,486,255,33,73,272,69,220,205,5283
2012,Whyalla,824,93,133,34,3,31,0,142,16,94,39,89,0,57,66,49,34,3,8,69,9,60,22,825
2013,Whyalla,767,63,118,33,3,27,0,129,16,88,35,81,3,54,64,43,34,3,11,63,8,55,18,769
2012,Wudinna,251,23,34,167,0,3,3,13,3,14,8,7,0,7,12,0,3,0,0,0,0,6,5,254
2013,Wudinna,257,22,20,165,0,3,0,12,0,12,8,8,3,7,14,3,3,0,0,0,0,7,9,256
2012,Yankalilla,475,39,73,191,3,27,3,74,11,20,17,17,3,17,38,19,7,0,3,11,3,11,6,478
2013,Yankalilla,479,43,47,187,3,25,3,73,9,22,17,18,4,16,35,20,8,0,4,13,0,11,11,479
2012,Yorke Peninsula,1338,120,143,613,6,33,3,136,30,98,60,58,3,31,104,40,21,3,6,32,6,39,26,1348
2013,Yorke Peninsula,1313,112,148,596,3,32,6,127,32,88,62,56,0,27,110,38,19,0,7,32,6,41,36,1321
2012,Unincorporated SA,360,44,50,134,19,6,4,40,6,28,24,22,0,7,19,13,6,4,5,5,3,11,11,368
2013,Unincorporated SA,349,23,32,141,15,6,3,40,6,27,27,18,0,6,18,11,5,4,5,3,0,10,8,354
2012,No usual address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,No usual address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Unknown SA,2665,277,347,1163,25,173,18,177,93,103,63,96,14,137,172,106,51,5,65,96,21,41,46,2665
2013,Unknown SA,1921,102,191,788,18,101,8,138,70,81,56,75,6,129,147,81,35,3,15,71,14,32,53,1921
